D:\simulator\data\IMG\center_2022_06_09_09_17_48_766.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_48_766.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_48_766.jpg, 0, 0, 0, 8.110826E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_48_870.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_48_870.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_48_870.jpg, 0, 0, 0, 7.983431E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_48_974.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_48_974.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_48_974.jpg, 0, 0, 0, 7.894117E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_078.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_078.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_078.jpg, 0, 0, 0, 7.819176E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_179.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_179.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_179.jpg, 0, 0, 0, 7.953666E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_285.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_285.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_285.jpg, 0, 0, 0, 7.861463E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_392.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_392.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_392.jpg, 0, 0, 0, 7.808359E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_492.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_492.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_492.jpg, 0, 0, 0, 7.838156E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_599.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_599.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_599.jpg, 0, 0, 0, 7.873798E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_701.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_701.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_701.jpg, 0, 0, 0, 7.781175E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_803.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_803.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_803.jpg, 0, 0, 0, 7.868042E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_49_905.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_49_905.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_49_905.jpg, 0, 0, 0, 8.012645E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_50_011.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_011.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_011.jpg, 0, 0, 0, 7.875207E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_50_112.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_112.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_112.jpg, 0, 0, 0, 7.93481E-05
D:\simulator\data\IMG\center_2022_06_09_09_17_50_215.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_215.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_215.jpg, 0, 0.0414015, 0, 0.0208915
D:\simulator\data\IMG\center_2022_06_09_09_17_50_317.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_317.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_317.jpg, 0, 0.3492045, 0, 0.252076
D:\simulator\data\IMG\center_2022_06_09_09_17_50_420.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_420.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_420.jpg, 0, 0.6563649, 0, 0.8547941
D:\simulator\data\IMG\center_2022_06_09_09_17_50_521.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_521.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_521.jpg, -0.1040007, 0.9595419, 0, 1.898419
D:\simulator\data\IMG\center_2022_06_09_09_17_50_626.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_626.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_626.jpg, -0.3965799, 1, 0, 3.066249
D:\simulator\data\IMG\center_2022_06_09_09_17_50_731.jpg, D:\simulator\data\IMG\left_2022_06_09_09_17_50_731.jpg, D:\simulator\data\IMG\right_2022_06_09_09_17_50_731.jpg, -0.3600042, 1, 0, 4.223862
